Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1.444,0.082,243.93,5.8,0,0,19
1.412,0.052,238.89,5.8,0,0,18
0.398,0.048,240.52,1.8,0,0,0
0.236,0.130,242.87,1.0,0,0,0
0.326,0.118,249.54,1.4,0,0,0
0.436,0.144,240.76,2.0,0,0,1
0.200,0.076,239.12,0.8,0,0,0
0.306,0.110,245.07,1.4,0,1,0
0.220,0.048,247.10,1.0,0,0,0
0.102,0.000,239.50,0.4,0,0,0
1.590,0.282,231.21,7.0,0,0,16
0.426,0.184,244.61,1.8,0,1,0
6.710,0.442,236.73,28.4,38,0,17
1.488,0.194,239.79,6.2,0,1,18
0.368,0.086,240.21,1.6,0,1,1
1.368,0.102,239.38,5.6,0,0,0
0.286,0.240,239.66,1.6,0,1,0
1.232,0.116,234.46,5.2,0,1,17
0.402,0.000,244.56,1.6,0,0,0
0.190,0.120,242.11,0.8,0,1,0
0.322,0.000,242.93,1.4,0,0,1
1.824,0.292,240.35,7.6,0,0,1
0.460,0.226,241.35,2.0,0,1,0
0.284,0.062,240.04,1.2,0,0,0
1.352,0.064,241.46,5.6,0,0,0
0.758,0.080,238.00,3.4,1,0,11
0.390,0.186,244.13,1.8,0,1,0
0.600,0.134,240.76,2.4,0,2,0
0.236,0.000,241.83,1.0,0,0,1
5.216,0.246,237.07,22.0,37,0,18
0.670,0.000,247.16,2.8,0,0,0
2.388,0.000,241.54,10.8,0,0,18
1.338,0.224,240.17,5.8,0,0,1
1.308,0.000,243.04,5.4,0,0,19
1.320,0.172,238.64,5.6,0,0,18
0.386,0.238,244.11,1.8,0,1,0
0.080,0.000,240.45,0.2,0,0,1
0.178,0.000,243.38,0.8,0,0,1
0.408,0.112,246.78,1.8,0,0,0
0.214,0.000,240.84,1.0,0,0,0
0.392,0.000,244.99,1.8,0,0,0
0.420,0.284,242.18,2.0,0,0,0
0.320,0.224,240.44,1.6,0,0,0
0.312,0.000,242.79,1.4,0,0,0
0.512,0.232,242.78,2.4,0,0,1
1.734,0.220,235.20,7.4,0,0,17
1.384,0.070,231.78,6.0,1,0,0
1.352,0.094,240.48,5.6,0,0,19
0.568,0.160,239.76,2.4,0,4,0
0.346,0.142,250.26,1.4,0,0,1
0.550,0.332,247.28,2.6,0,1,0
1.446,0.334,241.44,6.0,0,1,19
1.950,0.146,239.95,8.0,0,0,29
0.452,0.256,250.60,2.0,0,0,0
0.184,0.074,239.37,0.8,0,1,0
0.362,0.184,248.47,1.6,0,0,0
0.228,0.000,243.93,1.0,0,0,0
5.548,0.060,235.47,23.4,74,0,0
0.230,0.118,236.13,1.0,0,0,0
2.846,0.098,243.46,11.6,1,0,18
3.250,0.092,241.31,13.4,0,0,0
0.838,0.162,243.76,3.4,0,0,11
2.652,0.140,234.95,11.2,0,0,17
1.794,0.158,237.92,7.4,0,1,18
0.238,0.118,242.58,1.0,0,1,1
0.190,0.114,242.88,0.8,0,0,0
0.226,0.108,234.16,1.0,0,0,0
2.064,0.088,238.80,9.0,0,0,18
0.162,0.000,240.10,0.6,0,0,1
1.270,0.000,237.82,5.2,0,0,18
0.246,0.076,239.42,1.0,0,0,0
0.376,0.168,235.17,1.6,0,2,0
0.134,0.000,241.99,0.6,0,0,1
0.548,0.000,243.76,2.2,0,0,0
0.398,0.162,241.27,1.8,0,1,1
0.688,0.104,242.17,2.8,0,1,0
1.984,0.206,239.03,8.2,0,1,29
0.356,0.120,246.47,1.4,0,0,0
0.362,0.228,243.92,1.8,0,0,0
0.304,0.232,237.68,1.6,0,1,0
0.324,0.068,243.51,1.4,0,0,1
3.808,0.310,229.78,16.6,41,0,0
2.942,0.000,239.67,12.8,0,0,18
6.050,0.000,235.33,25.8,0,31,17
0.310,0.076,241.36,1.4,0,1,0
0.498,0.296,241.70,2.4,0,1,1
1.782,0.000,236.52,7.4,0,0,17
0.298,0.000,242.85,1.2,0,0,1
0.504,0.286,242.54,2.8,0,0,2
1.444,0.000,241.50,6.2,1,1,14
0.404,0.230,242.77,1.8,0,0,0
0.402,0.070,241.36,1.8,0,0,0
0.344,0.130,247.63,1.4,0,0,1
1.334,0.000,242.89,5.4,0,0,18
0.602,0.092,240.90,2.4,0,0,1
1.936,0.086,239.61,8.0,0,0,18
0.490,0.094,241.78,2.2,0,0,0
1.178,0.178,239.72,5.0,0,0,0
1.376,0.220,242.32,5.6,0,0,18
0.340,0.222,241.10,1.6,0,0,0
1.856,0.176,234.13,8.0,0,0,0
0.474,0.198,242.29,2.2,0,0,0
1.340,0.098,243.55,5.4,0,0,0
2.154,0.210,238.35,9.0,0,0,0
0.216,0.000,242.86,1.0,0,0,1
0.316,0.000,240.53,1.4,0,0,0
1.106,0.104,237.24,4.6,0,0,0
0.370,0.000,242.95,1.4,0,0,0
1.412,0.098,239.55,5.8,2,1,18
0.268,0.046,241.37,1.2,0,0,1
0.340,0.178,243.94,1.6,0,0,0
1.216,0.046,235.10,5.0,0,0,17
0.320,0.228,238.95,1.6,0,0,0
0.316,0.216,234.28,1.6,0,0,0
1.948,0.248,234.96,9.4,24,2,0
0.312,0.084,243.41,1.2,0,1,0
1.396,0.074,241.12,5.8,0,0,19
0.104,0.000,239.37,0.4,0,0,0
0.428,0.260,242.52,2.0,0,1,0
1.584,0.236,238.70,6.6,0,5,18
0.958,0.186,237.89,4.2,0,0,1
0.568,0.090,241.85,2.8,0,0,8
0.672,0.158,240.64,2.8,0,0,0
1.306,0.064,242.55,5.4,0,0,18
4.808,0.084,231.37,20.6,0,34,16
0.360,0.136,237.47,1.8,0,0,1
0.226,0.000,244.95,1.0,0,0,0
0.860,0.162,239.42,3.6,0,0,0
0.188,0.086,244.25,0.8,0,0,0
1.736,0.180,241.08,7.2,0,1,18
1.174,0.084,243.38,4.8,0,0,0
0.412,0.084,242.68,1.8,0,0,1
1.988,0.146,241.29,8.2,0,0,29
1.092,0.170,236.60,4.6,0,0,1
1.962,0.258,240.05,8.6,0,0,0
1.428,0.092,245.91,5.8,0,0,0
1.528,0.184,242.48,6.4,0,0,19
0.706,0.098,240.04,3.0,0,0,1
2.674,0.362,234.77,11.4,0,2,18
1.636,0.386,241.34,6.8,0,1,1
0.516,0.070,242.17,2.4,0,0,0
0.374,0.070,242.52,1.6,0,0,1
2.710,0.398,236.43,11.6,0,1,18
0.350,0.092,242.84,1.6,0,2,0
1.818,0.164,236.32,7.6,0,0,18
1.916,0.228,236.92,8.2,0,2,17
2.014,0.104,238.78,8.4,0,0,18
0.486,0.232,241.62,2.4,0,1,1
0.410,0.344,241.54,2.2,0,1,1
0.480,0.222,242.91,2.2,0,0,0
1.488,0.084,242.67,6.0,0,0,19
1.824,0.058,237.77,7.6,0,0,18
2.352,0.072,240.66,9.6,0,0,0
0.318,0.096,237.77,1.4,0,0,0
0.528,0.000,239.37,2.2,0,0,0
0.264,0.126,242.60,1.2,0,0,1
0.302,0.094,243.19,1.2,0,1,0
1.456,0.000,244.39,5.8,0,0,19
2.068,0.000,236.99,8.8,0,0,0
0.316,0.100,241.28,1.6,0,2,1
0.622,0.082,247.75,2.6,1,0,0
0.272,0.118,240.72,1.2,0,1,0
0.310,0.082,244.48,1.2,0,1,1
0.318,0.110,244.18,1.4,0,1,1
1.584,0.158,235.60,6.8,0,0,18
5.954,0.280,236.34,25.2,37,23,17
1.242,0.000,242.24,5.0,0,0,19
0.320,0.070,243.99,1.2,0,0,1
0.244,0.070,235.62,1.0,0,1,0
0.382,0.100,241.25,1.6,0,1,1
0.218,0.000,240.28,1.0,0,0,0
3.392,0.122,236.02,14.2,0,35,18
0.342,0.196,243.95,1.6,0,0,1
0.244,0.090,242.28,1.0,0,2,0
1.322,0.000,239.45,5.4,0,0,18
1.318,0.048,242.75,5.4,0,0,19
0.332,0.256,242.99,1.6,0,1,1
1.814,0.186,240.42,7.6,0,0,18
1.678,0.122,241.18,7.4,0,24,1
0.162,0.000,239.83,0.8,0,0,1
0.518,0.000,237.33,2.2,0,0,1
1.480,0.082,248.46,5.8,0,1,19
2.798,0.068,237.71,11.8,0,0,18
1.382,0.000,247.12,5.6,0,0,20
0.140,0.000,243.08,0.6,0,0,1
3.112,0.130,241.83,12.8,0,2,17
0.302,0.214,240.43,1.4,0,0,0
1.132,0.048,235.24,4.8,0,0,17
0.452,0.000,244.75,1.8,0,0,0
4.544,0.000,237.40,19.2,38,0,17
1.966,0.064,240.90,8.0,0,0,0
0.326,0.274,241.47,1.8,0,2,0
0.322,0.080,245.99,1.4,0,0,0
0.852,0.000,241.76,3.4,0,0,0
0.220,0.000,240.82,1.0,0,0,0
1.362,0.240,242.22,5.6,0,0,18
0.994,0.102,243.42,4.0,0,0,0
0.612,0.000,248.21,2.4,0,0,1
1.560,0.118,239.28,6.4,0,0,18
0.882,0.108,242.55,3.6,0,2,1
1.696,0.046,240.39,7.0,0,0,1
1.514,0.300,239.42,6.4,0,1,18
1.504,0.048,243.49,6.2,0,0,0
0.316,0.106,241.77,1.4,0,0,0
0.362,0.000,241.47,1.6,0,0,0
0.768,0.370,240.58,3.6,0,0,0
1.032,0.400,242.72,4.6,0,1,12
1.254,0.094,236.14,5.2,0,1,17
1.688,0.000,238.58,7.0,0,1,18
0.876,0.134,246.81,3.6,0,1,0
1.868,0.216,241.81,7.8,0,3,18
0.684,0.370,242.33,3.2,0,0,1
1.416,0.226,245.59,5.8,0,2,0
0.732,0.330,241.12,3.2,0,1,0
1.400,0.116,242.90,5.8,0,0,18
0.812,0.092,240.63,3.4,0,0,1
0.080,0.000,240.87,0.2,0,0,1
0.198,0.048,239.38,1.0,0,0,0
4.086,0.176,235.51,17.4,0,1,17
0.258,0.000,244.68,1.0,0,0,0
0.402,0.208,243.48,1.8,0,0,0
1.708,0.324,239.16,7.2,0,1,18
0.298,0.000,242.41,1.2,0,0,0
0.238,0.138,245.18,1.0,0,2,1
3.688,0.000,239.63,15.4,0,0,18
0.194,0.098,238.11,0.8,0,1,0
1.428,0.080,245.15,5.8,0,1,0
0.104,0.000,242.48,0.4,0,0,0
0.388,0.250,241.43,1.8,0,1,0
0.658,0.136,244.10,2.8,0,1,0
3.962,0.306,234.60,16.8,37,0,17
0.260,0.248,238.59,1.4,0,0,0
3.876,0.000,239.11,16.4,0,0,18
1.356,0.142,239.16,5.6,0,0,17
1.028,0.284,243.71,5.2,0,0,1
0.216,0.130,244.55,1.0,0,1,1
0.492,0.096,245.56,2.2,1,0,0
1.592,0.096,244.82,6.4,0,1,19
0.246,0.078,246.48,1.0,0,0,0
0.310,0.084,237.93,1.2,0,0,1
0.294,0.082,241.34,1.2,0,0,0
0.676,0.048,236.44,3.4,0,0,6
0.190,0.048,241.31,0.8,0,0,1
2.288,0.366,241.67,9.6,0,1,29
0.360,0.048,237.21,1.6,0,1,0
1.318,0.000,240.91,5.4,2,0,18
3.834,0.122,240.18,15.8,39,0,18
0.244,0.104,239.30,1.0,0,2,0
1.460,0.144,238.30,6.0,0,0,18
0.600,0.250,239.69,2.6,0,0,0
1.276,0.128,240.61,5.4,0,0,3
1.372,0.080,239.15,5.6,0,0,17
0.418,0.088,245.25,1.8,0,0,0
0.320,0.110,234.79,1.4,0,1,0
0.290,0.124,241.12,1.2,0,1,0
1.278,0.000,241.33,5.2,0,0,18
0.112,0.000,235.64,0.6,0,0,0
0.454,0.198,240.19,2.0,0,0,1
0.352,0.064,244.11,1.4,0,0,0
1.076,0.206,242.80,4.8,0,0,0
0.254,0.116,239.48,1.2,0,0,0
1.498,0.000,232.81,6.4,0,0,16
0.202,0.000,242.26,0.8,0,0,0
0.152,0.000,241.15,0.6,0,0,0
0.528,0.234,241.29,2.4,0,0,0
0.300,0.230,240.43,1.6,0,2,0
0.326,0.102,243.54,1.4,0,0,0
1.598,0.262,244.34,6.6,0,0,19
0.942,0.100,238.87,4.0,2,0,0
4.036,0.288,235.77,17.2,0,30,17
0.226,0.118,241.04,1.0,0,2,1
0.900,0.064,246.61,3.8,0,0,0
0.294,0.000,241.95,1.2,0,0,0
0.402,0.216,244.14,1.8,0,0,0
0.308,0.066,241.44,1.2,0,0,0
1.452,0.060,236.45,6.2,0,0,0
0.366,0.110,246.65,1.6,0,0,0
0.704,0.102,240.39,2.8,0,0,1
5.284,0.148,239.11,22.0,0,2,18
0.140,0.046,242.18,0.6,0,0,0
0.590,0.120,243.71,2.4,0,0,1
1.664,0.000,237.13,7.0,0,0,18
0.290,0.204,232.27,1.4,0,1,0
0.332,0.098,242.11,1.4,0,1,1
2.802,0.236,241.32,11.6,0,0,18
0.776,0.510,238.99,3.8,1,2,1
0.468,0.136,238.86,3.2,0,0,0
1.340,0.076,236.73,5.6,0,1,18
0.154,0.000,241.22,0.6,0,0,0
0.422,0.098,244.26,1.8,0,0,1
0.774,0.208,246.09,3.2,0,0,0
1.600,0.142,240.40,6.6,0,2,18
1.994,0.084,239.55,8.2,0,1,17
0.424,0.274,248.86,2.0,0,0,1
0.976,0.478,239.47,4.6,0,1,10
0.230,0.000,244.83,1.0,0,0,0
0.342,0.158,243.49,1.4,0,0,1
1.288,0.000,235.95,5.4,0,0,0
0.340,0.122,243.05,1.4,0,0,0
0.266,0.104,242.61,1.2,0,2,0
0.216,0.000,240.83,0.8,0,0,0
0.276,0.108,243.10,1.2,0,1,0
0.366,0.144,244.93,1.6,0,0,1
2.898,0.226,234.35,12.4,0,1,18
2.064,0.046,239.36,8.6,0,0,18
0.546,0.150,244.60,2.2,0,0,1
0.250,0.084,235.84,1.2,0,0,0
0.318,0.046,241.84,1.2,0,0,1
0.172,0.000,239.93,0.8,0,0,0
0.338,0.104,238.58,1.4,0,0,1
3.938,0.080,237.67,16.6,38,0,0
0.648,0.058,238.61,2.8,0,0,0
0.316,0.000,243.75,1.4,0,0,0
2.342,0.000,240.80,9.6,1,0,18
0.214,0.000,242.61,0.8,0,0,0
2.364,0.164,238.04,10.0,0,0,0
1.416,0.058,238.16,5.8,0,0,18
0.220,0.110,234.46,1.0,0,0,0
0.454,0.060,243.88,1.8,0,2,1
0.266,0.168,240.58,1.4,0,1,0
2.254,0.108,239.55,9.4,0,0,18
1.226,0.050,233.81,5.2,0,0,17
0.110,0.000,241.65,0.4,0,0,0
0.278,0.000,241.88,1.2,0,0,0
1.572,0.062,232.66,6.8,0,2,1
0.338,0.224,239.29,1.6,0,1,1
0.230,0.068,241.49,1.0,0,0,1
0.600,0.220,237.47,2.8,2,0,0
0.352,0.136,244.73,1.4,0,0,0
1.364,0.046,243.67,5.6,0,0,19
1.586,0.050,239.95,6.6,0,0,18
0.556,0.214,241.51,2.6,0,1,0
0.226,0.000,241.03,0.8,0,0,0
0.652,0.124,243.13,3.0,0,0,6
0.354,0.000,243.43,1.4,0,0,1
3.790,0.116,241.76,15.6,38,0,19
0.232,0.106,242.28,1.0,0,0,0
0.454,0.102,244.46,2.0,0,0,1
0.082,0.000,242.80,0.2,0,0,0
0.304,0.236,241.74,1.6,0,1,0
0.292,0.064,244.16,1.2,0,0,0
0.470,0.318,241.71,2.2,0,1,0
0.156,0.122,240.87,0.8,0,0,1
0.662,0.106,244.19,3.0,0,0,6
0.370,0.198,240.09,1.6,0,1,1
0.502,0.074,241.98,2.2,0,0,0
1.614,0.092,240.27,6.8,0,1,0
0.222,0.000,242.50,1.0,0,0,0
0.466,0.416,245.35,2.4,0,1,0
0.198,0.110,238.24,1.0,0,1,0
0.904,0.236,242.50,3.8,0,0,12
0.760,0.046,244.20,3.0,0,0,0
0.320,0.240,240.24,1.6,0,1,1
0.342,0.198,231.86,1.6,0,1,0
1.462,0.118,242.33,6.0,0,1,18
0.424,0.342,241.73,2.2,0,1,0
1.392,0.000,243.77,5.6,0,0,19
2.166,0.160,239.64,9.0,1,0,17
0.304,0.224,236.01,1.6,0,1,0
1.378,0.214,243.86,5.6,0,0,12
0.682,0.046,242.64,3.6,0,0,6
0.618,0.124,238.58,2.6,0,2,0
1.644,0.202,236.69,7.2,0,1,21
0.668,0.230,246.43,2.8,0,0,0
3.480,0.082,240.91,14.4,0,0,18
0.204,0.000,242.09,0.8,0,0,0
3.618,0.092,237.41,15.2,0,36,18
1.672,0.208,243.28,6.8,0,0,19
0.394,0.212,241.79,1.8,0,0,0
0.362,0.250,241.06,1.8,0,1,0
0.554,0.000,241.77,2.4,2,0,0
0.334,0.064,241.38,1.4,0,0,1
0.576,0.168,240.34,2.4,0,1,0
0.424,0.000,238.99,1.8,0,3,0
3.424,0.254,240.24,14.4,0,23,18
0.414,0.214,245.05,1.8,0,0,1
1.464,0.112,244.70,6.0,0,0,19
0.172,0.000,241.51,0.8,0,0,1
1.410,0.000,236.63,5.8,0,0,0
0.214,0.098,240.21,1.0,0,1,0
0.460,0.180,242.54,2.0,0,0,1
0.340,0.048,243.66,1.4,0,0,0
0.218,0.000,242.84,0.8,0,0,0
0.310,0.098,240.86,1.4,0,1,1
3.588,0.000,238.67,15.0,37,0,18
0.082,0.000,241.99,0.2,0,0,0
2.830,0.322,240.73,12.2,0,1,18
1.394,0.000,236.98,5.8,0,2,17
0.382,0.134,246.67,1.6,0,0,1
0.430,0.054,240.00,2.0,0,0,0
0.334,0.114,242.06,1.4,0,0,0
0.268,0.000,241.67,1.2,0,0,0
0.256,0.000,242.13,1.0,0,0,0
0.364,0.064,243.83,1.8,0,0,0
0.448,0.278,243.28,2.2,0,1,1
1.280,0.000,242.89,5.2,0,0,19
1.536,0.194,242.66,6.4,0,0,18
0.224,0.000,246.12,1.0,0,0,0
0.248,0.122,240.37,1.2,0,0,1
1.458,0.000,239.91,6.0,0,0,18
0.466,0.182,241.73,2.4,0,0,5
0.706,0.206,241.40,3.0,0,0,1
0.664,0.378,242.29,3.2,0,3,0
1.476,0.192,238.80,6.2,0,0,18
0.244,0.000,243.83,1.0,0,0,0
1.466,0.064,239.22,6.2,0,0,17
0.418,0.218,247.25,1.8,0,2,1
0.462,0.076,240.84,1.8,0,0,0
1.358,0.054,242.50,5.6,0,0,18
0.466,0.068,240.70,1.8,0,0,1
0.332,0.054,249.31,1.4,0,0,0
0.922,0.228,243.19,3.8,0,0,12
1.428,0.054,239.02,6.0,0,0,18
1.620,0.082,237.51,6.8,0,0,18
0.334,0.154,242.36,1.6,0,0,1
0.394,0.124,244.63,1.8,0,0,0
1.996,0.264,242.16,8.2,0,0,18
3.382,0.388,235.72,14.4,0,1,17
1.354,0.090,239.85,5.6,0,0,18
1.528,0.188,242.44,6.2,0,0,19
2.324,0.262,241.12,9.6,1,1,18
1.616,0.000,237.88,6.8,0,0,17
0.404,0.330,239.03,2.2,0,1,0
2.178,0.516,238.59,9.4,5,0,1
0.238,0.000,242.64,1.0,0,0,0
0.576,0.304,233.97,2.8,0,1,0
0.388,0.188,239.75,1.8,0,0,0
0.236,0.138,242.49,1.0,0,0,0
0.186,0.158,243.29,1.0,0,0,1
2.516,0.084,240.32,10.6,0,0,18
1.422,0.000,241.20,5.8,0,0,18
0.424,0.194,239.97,1.8,0,0,1
0.288,0.074,239.11,1.2,0,0,0
1.332,0.000,243.84,5.4,0,0,19
0.662,0.110,240.90,2.8,0,0,0
0.444,0.070,245.05,1.8,0,1,0
1.390,0.050,242.19,5.6,0,1,19
0.244,0.000,243.03,1.0,0,0,1
0.252,0.098,243.30,1.0,0,0,0
1.340,0.060,236.55,5.6,0,0,18
0.300,0.142,244.16,1.4,0,1,0
0.470,0.068,242.35,2.2,0,0,0
3.610,0.000,237.73,15.2,0,0,17
4.422,0.550,236.05,18.8,38,0,0
1.542,0.000,239.90,6.4,0,0,17
0.812,0.336,241.67,3.6,0,1,1
1.436,0.000,240.76,5.8,0,0,18
1.722,0.288,238.93,7.2,0,0,18
0.312,0.084,244.37,1.2,0,2,0
0.352,0.072,239.73,1.4,0,0,0
1.400,0.086,243.08,5.8,0,0,18
3.904,0.166,237.21,16.4,0,34,17
0.356,0.240,241.40,1.8,0,1,1
1.630,0.370,239.14,7.0,0,0,19
3.652,0.302,241.25,15.2,0,22,18
1.398,0.072,243.20,5.6,0,1,18
0.290,0.060,245.84,1.2,0,0,0
1.416,0.414,242.22,6.0,0,0,0
0.320,0.112,243.19,1.4,0,0,1
0.798,0.124,243.45,3.4,0,0,1
3.370,0.000,235.34,14.2,0,37,0
0.078,0.000,238.63,0.2,0,0,0
0.308,0.000,249.33,1.2,0,0,0
0.212,0.000,242.49,1.0,0,0,1
1.352,0.122,239.65,5.6,0,0,18
0.974,0.256,242.96,4.0,0,1,12
0.444,0.308,244.84,2.2,0,1,1
2.920,0.074,242.16,12.0,0,1,18
1.490,0.000,237.81,6.2,0,0,18
0.082,0.000,241.61,0.2,0,0,1
0.380,0.190,237.79,1.8,0,0,0
1.600,0.154,244.88,6.4,1,0,19
0.304,0.102,246.12,1.2,0,0,0
0.516,0.206,244.21,2.2,0,2,0
0.244,0.000,244.04,1.0,0,0,1
0.390,0.088,239.92,1.8,0,0,1
1.516,0.374,237.30,6.6,0,1,12
0.296,0.150,245.93,1.4,0,0,0
0.278,0.078,241.17,1.2,0,2,0
0.316,0.106,241.36,1.4,0,0,1
0.330,0.070,243.92,1.4,0,0,0
1.298,0.000,239.20,5.4,0,0,17
4.954,0.072,237.67,20.8,0,74,0
1.526,0.204,241.81,6.4,0,0,18
0.416,0.206,243.28,1.8,0,0,1
1.400,0.000,240.55,5.8,0,0,19
1.830,0.088,234.72,8.0,0,0,17
2.548,0.000,239.43,10.6,1,0,17
1.742,0.064,247.48,7.0,0,0,19
1.326,0.092,242.56,5.4,0,0,0
0.528,0.072,243.61,2.2,0,2,0
2.418,0.072,240.61,10.0,1,0,19
0.158,0.000,242.47,0.6,0,0,1
0.746,0.104,243.08,3.2,0,1,1
1.480,0.208,240.36,6.2,0,0,18
1.010,0.406,239.59,4.4,0,1,12
2.742,0.224,241.81,11.4,2,0,18
0.318,0.104,237.65,1.4,0,0,0
0.314,0.000,236.51,1.4,1,2,0
0.332,0.104,245.37,1.4,0,1,1
1.554,0.100,242.95,6.4,0,1,19
1.446,0.162,241.26,6.0,0,0,18
2.870,0.414,239.64,12.0,39,2,0
4.044,0.140,236.42,17.0,0,38,17
