Date,Start_Hour,End_Hour,Source,Production
1/4/2022,20,21,Wind,9372
7/6/2023,4,5,Wind,1028
3/22/2024,23,0,Wind,7326
1/16/2024,9,10,Wind,2207
5/8/2024,20,21,Wind,3372
1/26/2025,19,20,Wind,19633
7/20/2020,7,8,Wind,3155
3/2/2024,1,2,Wind,11147
5/17/2021,13,14,Wind,15419
9/22/2024,4,5,Wind,3577
7/18/2021,3,4,Wind,5140
3/20/2020,15,16,Wind,7700
4/14/2025,23,0,Wind,5469
2/19/2020,7,8,Wind,7659
11/21/2021,4,5,Wind,556
10/25/2023,10,11,Wind,10951
7/16/2023,19,20,Wind,5612
7/22/2020,12,13,Solar,3790
3/8/2024,1,2,Wind,10506
12/10/2020,14,15,Wind,3341
6/19/2022,8,9,Wind,7096
10/23/2024,20,21,Wind,5480
6/11/2024,23,0,Wind,2863
9/9/2021,5,6,Wind,1689
6/11/2020,15,16,Wind,5051
6/7/2024,4,5,Wind,1976
3/26/2024,23,0,Wind,8226
2/9/2022,9,10,Wind,4407
2/15/2025,20,21,Wind,5334
4/28/2021,6,7,Wind,857
8/27/2020,11,12,Solar,4553
10/1/2024,7,8,Wind,6398
5/21/2021,0,1,Wind,9704
12/5/2021,22,23,Wind,4707
8/1/2022,14,15,Solar,6729
9/18/2022,23,0,Wind,4648
1/14/2025,4,5,Wind,2738
1/4/2025,9,10,Wind,4819
8/23/2020,20,21,Wind,3074
12/11/2022,11,12,Solar,4059
7/5/2024,2,3,Wind,3591
7/12/2021,10,11,Wind,3055
12/4/2022,18,19,Wind,1267
9/29/2023,15,16,Wind,10069
10/6/2024,10,11,Wind,7982
2/27/2023,20,21,Wind,11622
6/6/2021,7,8,Wind,2047
4/6/2022,17,18,Wind,13616
1/29/2025,14,15,Wind,13601
10/30/2024,21,22,Wind,3374
6/14/2024,18,19,Wind,11508
2/5/2024,19,20,Wind,7217
11/16/2020,2,3,Wind,9712
11/3/2025,12,13,Wind,14275
5/28/2023,22,23,Wind,9225
1/24/2020,22,23,Wind,628
2/4/2022,5,6,Wind,6025
1/2/2020,18,19,Wind,5346
8/30/2022,0,1,Wind,5425
11/29/2025,0,1,Wind,5241
5/14/2025,10,11,Solar,7025
12/25/2024,2,3,Wind,1698
9/16/2024,11,12,Solar,8063
6/13/2020,2,3,Wind,3116
5/26/2025,10,11,Solar,10578
1/29/2022,9,10,Wind,8062
8/29/2021,7,8,Wind,3373
8/17/2023,4,5,Wind,2138
11/1/2021,16,17,Wind,6650
4/27/2025,13,14,Solar,4171
3/25/2020,20,21,Wind,7278
11/13/2025,13,14,Wind,10055
10/29/2022,9,10,Wind,8680
5/12/2025,3,4,Wind,2071
12/26/2021,18,19,Wind,2979
11/27/2022,5,6,Wind,6949
6/10/2025,19,20,Wind,4337
1/14/2020,11,12,Wind,13956
4/19/2025,14,15,Wind,4692
10/16/2022,4,5,Wind,3203
11/8/2025,12,13,Solar,5483
6/3/2023,0,1,Wind,7045
12/21/2022,4,5,Wind,5289
8/15/2022,6,7,Wind,2354
6/14/2025,21,22,Wind,2617
11/11/2021,19,20,Wind,904
4/2/2024,19,20,Wind,9355
12/3/2024,0,1,Wind,6322
8/18/2021,10,11,Solar,4153
2/18/2022,0,1,Wind,6361
6/15/2020,9,10,Solar,3227
6/6/2020,3,4,Wind,5774
10/31/2022,6,7,Wind,3071
8/2/2023,18,19,Wind,18182
6/8/2023,6,7,Wind,4578
4/21/2024,15,16,Wind,10808
11/2/2025,9,10,Wind,11230
1/11/2023,22,23,Wind,15390
3/19/2020,11,12,Solar,3951
8/17/2025,8,9,Wind,6183
8/7/2020,6,7,Wind,2021
11/22/2025,9,10,Wind,8243
9/4/2025,5,6,Wind,6876
7/22/2020,10,11,Solar,2606
4/26/2021,3,4,Wind,9366
8/19/2021,4,5,Wind,1485
10/25/2022,14,15,Solar,5213
4/6/2020,9,10,Wind,6188
7/8/2023,15,16,Solar,8194
5/10/2020,10,11,Wind,2276
1/17/2020,1,2,Wind,9434
1/10/2024,9,10,Wind,2524
3/29/2022,14,15,Solar,4278
12/7/2022,14,15,Solar,3789
6/6/2024,1,2,Wind,1268
1/30/2020,6,7,Wind,6684
8/18/2020,9,10,Solar,1797
12/12/2024,7,8,Wind,3380
4/4/2022,23,0,Wind,8520
10/13/2025,4,5,Wind,6073
6/18/2024,4,5,Wind,2793
5/10/2022,6,7,Wind,2478
4/26/2023,15,16,Solar,4624
6/16/2021,2,3,Wind,1499
9/3/2021,6,7,Wind,2094
4/7/2025,3,4,Wind,6184
7/21/2020,8,9,Wind,3014
5/12/2022,10,11,Solar,4025
12/22/2022,11,12,Wind,13135
10/8/2024,22,23,Wind,13096
6/13/2021,5,6,Wind,2592
3/9/2021,22,23,Wind,2083
1/3/2022,17,18,Wind,8634
2/15/2025,21,22,Wind,5507
12/3/2021,13,14,Wind,13277
5/7/2021,8,9,Wind,3061
6/27/2025,2,3,Wind,3511
2/1/2020,11,12,Wind,11252
7/1/2020,20,21,Wind,4054
5/1/2023,20,21,Wind,3856
7/8/2025,18,19,Solar,8997
2/18/2021,20,21,Wind,6214
11/28/2022,13,14,Wind,5047
7/1/2021,17,18,Solar,3901
11/15/2023,20,21,Wind,4554
1/14/2021,10,11,Wind,8411
5/27/2020,11,12,Solar,5832
4/16/2020,21,22,Wind,1491
6/29/2020,16,17,Wind,10010
4/2/2024,6,7,Wind,13175
5/8/2022,1,2,Wind,4285
12/29/2023,15,16,Wind,13922
3/15/2024,3,4,Wind,10445
6/7/2021,6,7,Wind,1268
3/31/2020,17,18,Wind,10262
9/13/2021,1,2,Wind,2586
1/16/2023,14,15,Wind,16385
2/1/2021,20,21,Wind,3405
9/13/2022,5,6,Wind,1654
7/29/2023,15,16,Wind,11966
8/9/2020,16,17,Solar,3364
9/23/2021,1,2,Wind,1404
3/18/2021,9,10,Wind,4597
1/13/2024,0,1,Wind,2503
6/27/2023,6,7,Wind,2239
12/15/2023,0,1,Wind,2968
6/12/2023,19,20,Wind,3168
12/14/2020,6,7,Wind,8437
5/4/2023,13,14,Solar,11275
1/6/2022,11,12,Solar,5010
5/5/2023,6,7,Wind,2188
3/24/2021,19,20,Wind,2191
11/6/2020,5,6,Wind,6584
10/13/2025,0,1,Wind,7395
4/9/2025,22,23,Wind,11401
6/13/2022,3,4,Wind,3888
12/6/2020,0,1,Wind,3896
12/26/2022,23,0,Wind,5200
7/7/2022,18,19,Wind,8067
9/27/2021,16,17,Wind,10010
1/29/2024,18,19,Wind,7099
3/25/2024,21,22,Wind,8820
12/27/2022,9,10,Wind,4677
12/3/2021,18,19,Wind,11102
4/4/2023,15,16,Solar,10833
3/28/2024,7,8,Wind,15504
12/23/2022,0,1,Wind,11216
4/27/2025,22,23,Wind,3364
4/20/2020,0,1,Wind,5506
10/17/2022,12,13,Wind,6996
1/2/2025,0,1,Wind,12035
7/24/2020,15,16,Solar,6901
11/21/2020,10,11,Wind,4830
8/22/2022,19,20,Wind,2515
12/29/2022,4,5,Wind,11261
11/11/2022,23,0,Wind,4623
7/15/2021,23,0,Wind,5085
6/29/2020,18,19,Wind,8918
11/2/2020,17,18,Wind,8515
6/8/2022,14,15,Wind,10122
11/27/2020,1,2,Wind,1637
3/1/2022,18,19,Wind,1775
8/19/2025,16,17,Solar,6355
11/13/2022,22,23,Wind,2673
11/6/2025,21,22,Wind,2696
7/13/2022,12,13,Solar,6334
12/27/2021,9,10,Wind,8156
10/25/2021,20,21,Wind,3029
9/12/2023,4,5,Wind,705
4/2/2023,4,5,Wind,8890
9/28/2021,2,3,Wind,2108
5/17/2024,14,15,Solar,7184
11/13/2025,1,2,Wind,12913
10/13/2020,16,17,Wind,5579
2/17/2021,22,23,Wind,7964
10/9/2020,18,19,Wind,3322
2/19/2025,20,21,Wind,7629
11/16/2021,16,17,Wind,1087
12/30/2020,23,0,Wind,5476
7/14/2022,14,15,Solar,8923
3/19/2023,13,14,Wind,7895
7/24/2024,11,12,Solar,6845
10/31/2024,20,21,Wind,1073
5/9/2023,19,20,Wind,7431
3/9/2021,6,7,Wind,2088
5/6/2024,20,21,Wind,3270
10/26/2022,17,18,Wind,3223
12/7/2021,12,13,Wind,11221
5/5/2024,23,0,Wind,2081
4/23/2023,18,19,Wind,14741
11/2/2022,19,20,Wind,7737
3/14/2021,15,16,Wind,13538
11/29/2021,10,11,Wind,3702
6/14/2025,14,15,Solar,4546
4/28/2024,9,10,Wind,7916
5/13/2020,1,2,Wind,3264
6/4/2025,16,17,Solar,8625
6/23/2024,12,13,Solar,4144
1/24/2024,10,11,Wind,15539
10/14/2021,4,5,Wind,1720
10/8/2021,23,0,Wind,5380
3/17/2023,23,0,Wind,6418
8/28/2023,5,6,Wind,2801
9/7/2022,12,13,Solar,7186
12/23/2023,11,12,Wind,15819
8/5/2023,10,11,Wind,11382
5/28/2023,23,0,Wind,9894
7/20/2022,1,2,Wind,3765
1/18/2023,2,3,Wind,4661
9/29/2024,2,3,Wind,1731
2/23/2024,12,13,Wind,16403
10/4/2021,23,0,Wind,7024
10/20/2025,0,1,Wind,13425
3/24/2023,8,9,Wind,12405
7/23/2020,18,19,Solar,1954
5/13/2020,23,0,Wind,7165
9/6/2022,23,0,Wind,2214
2/17/2021,7,8,Wind,7775
5/29/2021,12,13,Solar,6169
7/25/2024,21,22,Wind,2257
4/16/2022,20,21,Wind,6001
7/28/2020,5,6,Wind,4107
5/31/2021,19,20,Wind,3587
6/27/2024,21,22,Wind,4170
10/23/2021,22,23,Wind,3701
11/22/2022,20,21,Wind,10307
3/26/2020,20,21,Wind,4960
8/9/2020,7,8,Wind,963
11/23/2025,22,23,Wind,6568
6/17/2022,3,4,Wind,3147
9/6/2020,6,7,Wind,1309
1/8/2023,12,13,Wind,13363
5/27/2020,2,3,Wind,4422
12/29/2023,12,13,Wind,15941
1/6/2022,3,4,Wind,2846
3/8/2025,0,1,Wind,10805
6/25/2023,16,17,Solar,8815
10/31/2023,12,13,Wind,11825
4/18/2021,7,8,Wind,2893
5/5/2020,14,15,Wind,6849
5/3/2023,9,10,Solar,7624
9/3/2023,19,20,Wind,5905
10/25/2024,21,22,Wind,1798
5/11/2022,6,7,Wind,3550
1/30/2025,14,15,Wind,8803
4/29/2020,5,6,Wind,4808
4/3/2020,5,6,Wind,2053
5/14/2020,1,2,Wind,7248
8/22/2020,9,10,Wind,7218
4/24/2021,19,20,Wind,6192
6/26/2025,17,18,Wind,14166
10/7/2020,20,21,Wind,4044
2/11/2020,13,14,Wind,14541
10/21/2024,23,0,Wind,6386
8/7/2022,8,9,Wind,5411
1/8/2021,7,8,Wind,1043
3/27/2020,12,13,Solar,5875
9/14/2022,13,14,Solar,6213
2/9/2021,17,18,Wind,5404
4/25/2021,5,6,Wind,8275
12/20/2022,1,2,Wind,13886
3/15/2023,8,9,Wind,3420
1/9/2024,18,19,Wind,3646
6/5/2021,15,16,Solar,5731
11/28/2024,22,23,Wind,4321
4/28/2020,3,4,Wind,3006
10/8/2025,2,3,Wind,730
7/24/2025,12,13,Solar,8701
5/18/2021,20,21,Wind,3351
4/7/2023,6,7,Wind,1998
2/28/2022,18,19,Wind,2179
11/3/2023,23,0,Wind,10599
4/28/2021,23,0,Wind,2245
10/22/2023,19,20,Wind,1963
12/4/2023,16,17,Wind,14332
3/12/2023,10,11,Wind,11363
6/10/2024,16,17,Wind,9028
12/7/2023,7,8,Wind,7243
1/11/2020,13,14,Wind,6243
6/20/2022,18,19,Wind,6057
12/9/2021,12,13,Wind,6822
10/22/2021,4,5,Wind,2148
8/18/2023,12,13,Solar,7556
8/26/2020,15,16,Wind,10494
5/17/2023,1,2,Wind,7393
12/10/2024,14,15,Wind,9436
9/4/2023,16,17,Wind,10840
6/15/2023,21,22,Wind,2306
1/12/2021,6,7,Wind,12614
4/23/2021,7,8,Wind,5325
5/28/2020,21,22,Wind,4838
4/17/2023,0,1,Wind,3728
1/12/2020,6,7,Wind,7023
11/29/2024,4,5,Wind,7114
4/28/2025,20,21,Wind,4319
6/10/2020,10,11,Solar,3435
2/15/2025,17,18,Wind,3299
3/25/2023,18,19,Wind,9938
10/4/2021,19,20,Wind,4512
8/3/2023,6,7,Wind,11952
8/27/2022,1,2,Wind,2886
2/8/2021,17,18,Wind,1809
2/5/2023,16,17,Wind,10704
4/27/2021,21,22,Wind,1594
12/8/2021,1,2,Wind,10646
9/29/2022,21,22,Wind,1181
8/14/2025,0,1,Wind,3432
8/12/2023,8,9,Wind,2514
4/25/2022,0,1,Wind,3834
3/12/2025,6,7,Wind,2812
1/2/2023,23,0,Wind,4165
6/23/2021,23,0,Wind,2524
1/27/2024,14,15,Solar,5047
4/19/2022,12,13,Solar,5004
11/2/2020,6,7,Wind,11975
2/25/2025,22,23,Wind,11904
9/30/2025,4,5,Wind,1402
3/18/2023,22,23,Wind,3908
11/25/2020,7,8,Wind,6287
11/11/2020,15,16,Wind,3805
5/26/2022,5,6,Wind,3427
4/27/2020,20,21,Wind,2041
7/26/2021,6,7,Wind,1744
7/1/2024,7,8,Wind,2190
10/13/2022,12,13,Wind,6261
4/9/2021,18,19,Wind,5113
10/10/2021,0,1,Wind,2713
4/22/2023,11,12,Wind,8274
1/22/2022,23,0,Wind,1705
10/6/2024,21,22,Wind,8155
5/4/2020,4,5,Wind,772
11/6/2022,5,6,Wind,7347
8/16/2024,12,13,Solar,8933
12/15/2020,16,17,Wind,2633
1/4/2021,19,20,Wind,3018
2/17/2022,15,16,Wind,14562
2/22/2020,7,8,Wind,8585
2/3/2025,12,13,Solar,6618
5/16/2022,12,13,Solar,7824
3/20/2025,15,16,Wind,8861
10/8/2021,17,18,Wind,6180
1/11/2025,4,5,Wind,2047
10/29/2024,3,4,Wind,1443
5/25/2021,8,9,Wind,9963
4/20/2022,18,19,Wind,4079
7/28/2023,20,21,Wind,4401
1/25/2022,8,9,Wind,376
11/12/2024,0,1,Wind,8295
7/2/2021,4,5,Wind,524
4/30/2022,22,23,Wind,4244
3/18/2024,6,7,Wind,2178
12/28/2023,23,0,Wind,13532
4/4/2023,22,23,Wind,4225
6/19/2022,19,20,Wind,7351
10/27/2021,12,13,Solar,5370
1/24/2025,16,17,Wind,14158
6/22/2021,21,22,Wind,3591
7/25/2021,18,19,Wind,5105
12/1/2021,7,8,Wind,13835
3/1/2020,20,21,Wind,8419
3/28/2024,4,5,Wind,14967
1/3/2020,22,23,Wind,4207
11/25/2024,23,0,Wind,6573
5/5/2023,15,16,Solar,8449
4/27/2025,5,6,Wind,4156
5/21/2024,17,18,Solar,6724
10/17/2023,18,19,Wind,7943
5/15/2023,15,16,Wind,12236
4/20/2024,7,8,Wind,6623
4/28/2024,21,22,Wind,3181
6/17/2022,8,9,Wind,3818
3/26/2021,16,17,Wind,10584
10/7/2023,7,8,Wind,2231
2/2/2025,13,14,Solar,5898
7/28/2025,6,7,Wind,3946
10/25/2025,8,9,Wind,12427
12/2/2020,3,4,Wind,4378
6/10/2022,10,11,Solar,6486
11/17/2024,19,20,Wind,5733
11/13/2022,23,0,Wind,3184
6/17/2024,23,0,Wind,2344
10/27/2020,4,5,Wind,5881
5/6/2025,22,23,Wind,9412
7/1/2023,6,7,Wind,7665
11/10/2023,0,1,Wind,12598
7/4/2024,15,16,Wind,8892
6/15/2021,2,3,Wind,2314
8/9/2025,2,3,Wind,1411
10/18/2023,8,9,Wind,11434
5/23/2022,15,16,Wind,11353
9/27/2020,6,7,Wind,11628
4/15/2021,0,1,Wind,5536
11/5/2023,18,19,Wind,13494
11/3/2022,23,0,Wind,10983
5/2/2021,11,12,Solar,4597
2/20/2024,1,2,Wind,3775
7/11/2024,15,16,Solar,6569
10/23/2025,2,3,Wind,18020
6/26/2021,10,11,Solar,3463
1/26/2023,7,8,Wind,2785
4/21/2024,5,6,Wind,5440
2/7/2024,20,21,Wind,10078
11/19/2023,19,20,Wind,12727
1/14/2020,5,6,Wind,11947
10/10/2025,10,11,Solar,6209
5/6/2020,12,13,Solar,5389
6/11/2023,17,18,Solar,5511
7/10/2020,11,12,Wind,5812
8/6/2023,18,19,Wind,12828
9/28/2022,12,13,Solar,6478
4/17/2025,21,22,Wind,2201
2/28/2023,22,23,Wind,7116
8/17/2020,16,17,Wind,6027
5/13/2021,16,17,Solar,4826
8/28/2020,16,17,Wind,8440
2/28/2021,1,2,Wind,8031
3/22/2024,10,11,Solar,7476
5/4/2022,20,21,Wind,1854
9/27/2022,12,13,Wind,12571
8/8/2025,2,3,Wind,1497
7/20/2021,20,21,Wind,2246
11/6/2023,16,17,Wind,9657
10/9/2022,18,19,Wind,2019
3/3/2021,17,18,Wind,1043
6/27/2021,0,1,Wind,3833
5/27/2024,12,13,Solar,6999
10/26/2021,18,19,Wind,2863
7/31/2020,15,16,Solar,5827
3/27/2023,16,17,Solar,7513
10/8/2023,8,9,Wind,1493
7/4/2020,14,15,Wind,12039
1/29/2025,23,0,Wind,6217
4/20/2025,23,0,Wind,4459
9/11/2022,7,8,Wind,587
2/15/2020,15,16,Wind,10985
5/14/2025,23,0,Wind,6132
3/5/2021,10,11,Wind,7772
10/26/2023,1,2,Wind,4909
10/24/2025,1,2,Wind,14684
10/27/2023,2,3,Wind,8268
6/16/2025,15,16,Solar,10527
1/7/2020,3,4,Wind,3967
7/22/2025,0,1,Wind,7645
3/15/2023,9,10,Solar,4554
10/6/2020,11,12,Wind,11671
10/15/2024,7,8,Wind,3772
2/18/2025,19,20,Wind,11327
11/25/2020,14,15,Wind,4090
5/22/2024,23,0,Wind,3024
1/22/2021,10,11,Wind,3354
9/10/2023,16,17,Solar,6517
2/14/2020,19,20,Wind,4429
1/11/2022,12,13,Solar,5018
4/6/2022,10,11,Wind,7764
12/19/2020,10,11,Wind,10892
1/24/2023,12,13,Wind,6696
7/1/2021,18,19,Solar,3022
10/25/2024,12,13,Wind,6893
11/14/2021,12,13,Wind,4665
4/17/2021,4,5,Wind,4834
8/6/2024,22,23,Wind,2097
8/23/2024,2,3,Wind,9509
